Location;Avg Depth;Min Width;Ships;Oil;Path
Strait of Gibraltar;;;91250;3.6;[[35.92290, -6.6216],[35.95684, -5.9352],[35.95996, -5.5012],[36.00154, -4.9862]]
Strait of Hormuz;;;42000;18.5;[[25.95423339, 54.286556],[26.36258644, 55.612322],[26.74205513, 56.550271],[26.03567838, 56.815349],[25.08387104, 57.285530]]
Strait of Malacca;;;70000;16.0;[[2.8597841, 100.900591],[2.3430572, 101.648275],[1.6281875, 102.638907],[1.2319154, 103.255861],[1.1214319, 103.658761],[1.2693862, 104.140535],[1.4286635, 104.591188]]
Lombok;;;3900;0.4;[[-9.06268, 115.6621],[-8.64426, 115.7226],[-8.28070, 115.8167],[-7.85082, 115.8496]]
Sunda;;;2280;0.1;[[-6.31291, 104.98540],[-6.08132, 105.58243],[-5.67837, 106.06756],[-5.24459, 106.58299]]
Suez Canal and SUMED Pipeline;;;20600;5.5;[[29.928733, 32.55561800],[29.967714, 32.58654214],[30.003546, 32.58228195],[30.059301, 32.57161691],[30.130519, 32.57012362],[30.190354, 32.56710364],[30.235506, 32.54471127],[30.268483, 32.48116279],[30.281720, 32.43588289],[30.581665, 32.3335],[30.977359, 32.3098],[31.186174, 32.3041],[31.295665, 32.3415]]
Bab el-Mandab;;;17000;4.8;[[13.33084236, 42.9634559],[12.82612011, 43.3576970],[12.23879989, 43.7841013],[12.02981845, 44.6993532]]
Danish Straits;;;60000;3.2;[[54.67376, 12.81721],[54.43214, 11.77760],[54.72688, 10.85669],[55.23152, 11.04331],[55.83255, 10.80526],[56.32248, 11.29420]]
Bosporus and Dardanelles Straits;;;48000;2.4;[[41.21956, 29.12980],[41.15138, 29.05745],[41.08222, 29.05961],[40.99388, 28.99444],[40.74814, 27.87039],[40.54569, 27.14911],[40.30179, 26.59070],[40.02387, 26.22532]]
Panama Canal;;;14000;0.9;[[8.91854, -79.5486],[9.03488, -79.6378],[9.10666, -79.6875],[9.12120, -79.7905],[9.17207, -79.8199],[9.20813, -79.9004],[9.35635, -79.9284]]
Cape of Good Hope;;;3000;5.8;[[-33.2723, 16.82795],[-34.7157, 18.37350],[-35.2330, 21.53741]]
