country,lat,lon
Syria, 37.22298420709379, 42.23974948189152
Syria, 36.8343946988733, 42.04760306608217
Syria, 36.87038492461555, 42.03118796478252
Syria, 36.89880924315047, 42.01236599518793
Syria, 37.073652330664565, 41.4703689227332
Syria, 37.071839162688356, 41.38900669351926
Syria, 37.07242915386663, 41.32718706599842
Syria, 36.38657125632849, 40.79731042172711
Syria, 36.48468009807964, 40.793569299578806
Syria, 36.503054404318675, 40.777068953437784
Syria, 36.60611112170432, 40.71393073254391
Syria, 36.60399147432049, 40.60972825243754
Syria, 36.71591069118425, 40.47769817671156
Syria, 36.730829585115, 40.57894716632448
Syria, 36.73541672550238, 40.70865318645735
Syria, 36.44254787584045, 40.34418696739119
Syria, 35.95010658481978, 38.98127119085028
Syria, 35.94785915371786, 39.034138802831535
Syria, 33.47203227763745, 38.70669817722417
Syria, 33.56825153830219, 38.995338248790894
Syria, 34.46090397056684, 40.988153887342335
Syria, 34.55970190158796, 40.97950631892432
Syria, 34.69973918595908, 40.92278070031007
Syria, 34.74756552240865, 40.829420012376964
Syria, 34.98014161489276, 40.64930681875461
Syria, 35.11642882730818, 40.66971978806015
Syria, 35.098727541076094, 40.5710899624405
Syria, 35.394581740517, 40.58079416591
Syria, 35.396174567029824, 40.51746216051894
Syria, 35.26582162207454, 40.46251713208854
Syria, 35.29175105897121, 40.38531173592582
Iraq, 33.307577, 44.390259
Iraq, 33.529444, 44.2775
Iraq, 33.789367, 42.444692
Iraq, 33.33911, 43.598341
